species,country,sum_gsv_scaled
Acanthurus monroviae,Israel,0.5337748506008403
Acanthurus monroviae,Italy,NA
Acanthurus monroviae,Lebanon,NA
Acanthurus monroviae,Libya,20.68762397199137
Acanthurus monroviae,Malta,NA
Acanthurus monroviae,Monaco,100
Acanthurus monroviae,Montenegro,NA
Acanthurus monroviae,Morocco,NA
Acanthurus monroviae,Romania,0.9131261299923893
Acanthurus monroviae,Russia,NA
Acanthurus monroviae,Slovenia,2.271237527141705
Acanthurus monroviae,Spain,0.1291051370480222
Acanthurus monroviae,Syria,NA
Acanthurus monroviae,Tunisia,NA
Acanthurus monroviae,Turkey,NA
Acanthurus monroviae,Ukraine,NA
Acipenser naccarii,Albania,NA
Acipenser naccarii,Algeria,NA
Acipenser naccarii,Bosnia and Herzegovina,16.551732961545085
Acipenser naccarii,Bulgaria,7.863600983179688
Acipenser naccarii,Croatia,15.94336336429308
Acipenser naccarii,Cyprus,NA
Acipenser naccarii,Egypt,3.937403018244017
Acipenser naccarii,France,0.4703776173173439
Acipenser naccarii,Georgia,NA
Acipenser naccarii,Greece,32.976891622443496
Acipenser naccarii,Israel,NA
Acipenser naccarii,Italy,4.759468762649029
Acipenser naccarii,Lebanon,NA
Acipenser naccarii,Libya,NA
Acipenser naccarii,Malta,NA
Acipenser naccarii,Monaco,NA
Acipenser naccarii,Montenegro,100
Acipenser naccarii,Morocco,NA
Acipenser naccarii,Romania,4.325850833697585
Acipenser naccarii,Russia,1.1941542508859548
Acipenser naccarii,Slovenia,19.209975682699262
Acipenser naccarii,Spain,0.5514636804908397
Acipenser naccarii,Syria,99.12109948031203
Acipenser naccarii,Tunisia,NA
Acipenser naccarii,Turkey,NA
Acipenser naccarii,Ukraine,2.8317715454446635
Acipenser stellatus,Albania,NA
Acipenser stellatus,Algeria,1.1291085706506059
Acipenser stellatus,Bosnia and Herzegovina,4.462072159412344
Acipenser stellatus,Bulgaria,3.29229593226834
Acipenser stellatus,Croatia,2.1332669409562928
Acipenser stellatus,Cyprus,NA
Acipenser stellatus,Egypt,NA
Acipenser stellatus,France,2.1571900462575515
Acipenser stellatus,Georgia,6.568122533995437
Acipenser stellatus,Greece,0.9465291777983745
Acipenser stellatus,Israel,NA
Acipenser stellatus,Italy,0.4585503139711076
Acipenser stellatus,Lebanon,NA
Acipenser stellatus,Libya,10.911355340506224
Acipenser stellatus,Malta,21.82309930211487
Acipenser stellatus,Monaco,NA
Acipenser stellatus,Montenegro,18.044290334658008
Acipenser stellatus,Morocco,NA
Acipenser stellatus,Romania,92.28921523293879
Acipenser stellatus,Russia,100
Acipenser stellatus,Slovenia,NA
Acipenser stellatus,Spain,0.16178624569260022
Acipenser stellatus,Syria,6.183019068733176
Acipenser stellatus,Tunisia,2.1763148346097227
Acipenser stellatus,Turkey,2.942201377062781
Acipenser stellatus,Ukraine,57.38241025716688
Acipenser sturio,Albania,3.7946229254860637
Acipenser sturio,Algeria,1.2009794466426
Acipenser sturio,Bosnia and Herzegovina,0.9503675354843505
Acipenser sturio,Bulgaria,NA
Acipenser sturio,Croatia,1.303122237986762
Acipenser sturio,Cyprus,NA
Acipenser sturio,Egypt,0.08461820533459394
Acipenser sturio,France,26.478625006667855
Acipenser sturio,Georgia,NA
Acipenser sturio,Greece,13.524253017527629
Acipenser sturio,Israel,NA
Acipenser sturio,Italy,100
Acipenser sturio,Lebanon,0.9946270464484692
Acipenser sturio,Libya,NA
Acipenser sturio,Malta,NA
Acipenser sturio,Monaco,NA
Acipenser sturio,Montenegro,6.664664276434307
Acipenser sturio,Morocco,1.386847029432598
Acipenser sturio,Romania,7.042787066120909
Acipenser sturio,Russia,0.34960082840688617
Acipenser sturio,Slovenia,0.7944142972498106
Acipenser sturio,Spain,2.957555833246688
Acipenser sturio,Syria,3.046504572242249
Acipenser sturio,Tunisia,1.989402094294374
Acipenser sturio,Turkey,4.981184009936318
Acipenser sturio,Ukraine,0.21225959623082843
Aetomylaeus bovinus,Albania,73.4261769128606
Aetomylaeus bovinus,Algeria,6.546713458645005
Aetomylaeus bovinus,Bosnia and Herzegovina,NA
Aetomylaeus bovinus,Bulgaria,NA
Aetomylaeus bovinus,Croatia,NA
Aetomylaeus bovinus,Cyprus,48.41991923928977
Aetomylaeus bovinus,Egypt,NA
Aetomylaeus bovinus,France,1.9011589096585155
Aetomylaeus bovinus,Georgia,NA
Aetomylaeus bovinus,Greece,85.18831398386251
Aetomylaeus bovinus,Israel,6.415818706607931
Aetomylaeus bovinus,Italy,36.77953330278969
Aetomylaeus bovinus,Lebanon,NA
Aetomylaeus bovinus,Libya,NA
Aetomylaeus bovinus,Malta,100
Aetomylaeus bovinus,Monaco,NA
Aetomylaeus bovinus,Montenegro,NA
Aetomylaeus bovinus,Morocco,NA
Aetomylaeus bovinus,Romania,4.1662241755954215
Aetomylaeus bovinus,Russia,1.0620480591831656
Aetomylaeus bovinus,Slovenia,28.337059869226366
Aetomylaeus bovinus,Spain,43.41002786783097
Aetomylaeus bovinus,Syria,NA
Aetomylaeus bovinus,Tunisia,11.269957932731796
Aetomylaeus bovinus,Turkey,1.4385030675310049
Aetomylaeus bovinus,Ukraine,3.3240592244237908
Aidablennius sphynx,Albania,NA
Aidablennius sphynx,Algeria,NA
Aidablennius sphynx,Bosnia and Herzegovina,NA
Aidablennius sphynx,Bulgaria,2.829662276818051
Aidablennius sphynx,Croatia,NA
Aidablennius sphynx,Cyprus,75.84010821815181
Aidablennius sphynx,Egypt,2.0360812666353176
Aidablennius sphynx,France,0.18975258975373832
Aidablennius sphynx,Georgia,NA
Aidablennius sphynx,Greece,1.444058861929753
Aidablennius sphynx,Israel,NA
Aidablennius sphynx,Italy,NA
Aidablennius sphynx,Lebanon,NA
Aidablennius sphynx,Libya,NA
Aidablennius sphynx,Malta,100
Aidablennius sphynx,Monaco,NA
Aidablennius sphynx,Montenegro,28.78031129792806
Aidablennius sphynx,Morocco,7.803477491232663
Aidablennius sphynx,Romania,NA
Aidablennius sphynx,Russia,NA
Aidablennius sphynx,Slovenia,NA
Aidablennius sphynx,Spain,NA
Aidablennius sphynx,Syria,12.464806913662612
Aidablennius sphynx,Tunisia,NA
Aidablennius sphynx,Turkey,0.45433959163415943
Aidablennius sphynx,Ukraine,NA
Alectis alexandrina,Albania,7.4719199056178836
Alectis alexandrina,Algeria,NA
Alectis alexandrina,Bosnia and Herzegovina,NA
Alectis alexandrina,Bulgaria,1.4022999547771908
